"id","age","mean","mode","lower","upper","variance"
"All","68",0.195948650916707,0.17,0.0960153223916604,0.301985336283955,0.00278071908089331
"All","69",0.196614464705798,0.17,0.0967181224630995,0.30427175714962,0.00282446835130907
"All","70",0.197248348701504,0.17,0.0965655282431437,0.306124621123653,0.00286897678253906
"All","71",0.197850254043753,0.17,0.10913091637739,0.320498363514464,0.00291434211394892
"All","72",0.1984201536894,0.17,0.108889229947107,0.321903152310621,0.00296066750807375
"All","73",0.198958042324449,0.17,0.0948840658998499,0.309563193125896,0.00300806144049227
"All","74",0.199463936266524,0.17,0.0930510973730546,0.309314582440956,0.00305663757578938
"All","75",0.199937873357201,0.17,0.0925554097012254,0.310603390171181,0.00310651462982951
"All","76",0.200379912843705,0.18,0.0923765638903145,0.311994704107768,0.00315781621856569
"All","77",0.200790135249421,0.17,0.100099525974036,0.321370512656158,0.00321067069360949
"All","78",0.201168642232556,0.17,0.100727749523021,0.323557723104475,0.0032652109647844
"All","79",0.201515556432279,0.18,0.104105244099406,0.32883189813089,0.00332157430988016
"All","80",0.201831021301549,0.17,0.0927102681059508,0.319582650125132,0.00337990217181735
"All","81",0.202115200925831,0.18,0.0907453043805896,0.318949747740518,0.00344033994342062
"All","82",0.202368279826854,0.18,0.0897992391783155,0.319405248923076,0.00350303673998492
"All","83",0.202590462750517,0.18,0.0952717503209975,0.326973692863194,0.00356814515980238
"All","84",0.202781974438045,0.18,0.0953573222004834,0.328895749737623,0.00363582103279797
"All","85",0.202943059379506,0.18,0.0957574382671984,0.33089705764377,0.00370622315739985
"All","86",0.203073981548752,0.18,0.0949296969589589,0.331788262792133,0.00377951302574688
"All","87",0.203175024118946,0.18,0.0949701713375752,0.333044552027459,0.00385585453731003
"All","88",0.203246489157784,0.18,0.0951157128486829,0.334169980870042,0.00393541370097922
"All","89",0.20328869730164,0.18,0.093138754373013,0.334026794954594,0.00401835832564183
"All","90",0.203301987407874,0.18,0.0918824764738867,0.334945293908809,0.00410485769925659
"All","91",0.203286716184649,0.18,0.0915849992779197,0.336767206920391,0.00419508225640734
"All","92",0.203243257797684,0.18,0.0887192515694142,0.335988693207347,0.00428920323430839
"All","93",0.203172003453467,0.18,0.0888142864209378,0.337917885599477,0.00438739231722798
"All","94",0.203073360958603,0.18,0.0836119086593889,0.335231685788047,0.00448982126930279
"All","95",0.20294775425507,0.18,0.0843633272942977,0.33822288047244,0.00459666155573557
"All","96",0.20279562293134,0.19,0.0816329753130512,0.337939368019527,0.00470808395240484
"All","97",0.202617421709456,0.18,0.0769141661038136,0.336614654053147,0.00482425814397161
"All","98",0.202413619908353,0.18,0.0769824514049114,0.339485311453338,0.00494535231064711
"All","99",0.20218470088387,0.18,0.0757243348828392,0.340428603399395,0.00507153270389044
"All","100",0.201931161446109,0.18,0.0729574923148399,0.340600590859723,0.00520296321143813
"All","101",0.201653511254968,0.17,0.0718223521129878,0.342577491859016,0.00533980491223077
"Aminoglycosides","max",0.177041807654897,0.14,0.0709812604793063,0.305760986287588,0.00405441961393322
